ablation,fill_rate,critical_fill_rate,line_stop_probability,mean_line_stop_events,mean_disruption_cost_eur
full_model,0.9815367790792325,0.9939711456972117,1.0,46.68,5569796.831135932
without_supplier_correlation,0.9827520511992235,0.9953237784858722,1.0,41.08,4994687.514390345
without_stochastic_lead_time,0.9824483377293363,0.9951031375668485,1.0,48.68,4817648.115059136
without_returnable_constraint,0.9862824826937362,0.9979901109165342,1.0,18.92,3429896.2166058575
without_carrier_constraint,0.9930408297057114,0.9996307038284377,1.0,3.96,2267199.430032174
without_supplier_outage,0.9812942112729439,0.9941565462985938,1.0,45.84,5639252.917357819
without_demand_shock,0.9902570759306201,0.9989539201569398,1.0,11.04,2056130.7601180563
