policy,transport_eur,packaging_material_eur,packaging_cleaning_repair_eur,reverse_logistics_eur,inventory_eur,handling_eur,damage_eur,dock_wait_eur,dock_overtime_eur,premium_freight_eur,line_stop_exposure_eur,total_landed_logistics_cost_eur,transport_co2e_kg,packaging_co2e_proxy_kg,routes,mean_cube_utilization,mean_weight_utilization,mean_pallet_utilization,mean_fill_rate,critical_fill_rate,line_stop_probability,mean_line_stop_events,mean_line_stop_hours,premium_freight_events_mean,p95_shortage_duration_days,disruption_cost_p95_eur
Baseline A,5978580.800000001,40259236.64545454,106756.45999999999,157800.08000000002,3241131.6212259047,24393419.0,3218849.955967297,3673171.1471507666,516310.0507915969,254760.88731177282,23408.85206750179,81823425.49996938,3336823.7964381143,16677289.899665462,60,0.6114016886636856,0.20552443021950137,0.6262626262626262,0.9986968161804832,0.9999126955880299,0.6,0.9333333333333333,1.3004917815278771,421.9166666666667,2.0,355914.4534739769
Baseline B,6128449.756806861,13724196.095454544,2072232.07,2790422.1100000003,3140746.9129304844,20930920.299999997,221508.4758016871,3482844.80099661,95655.29708990919,309954.1995199762,24938.895447028037,52921868.9140471,3883767.3841995504,5668074.358312737,35,0.615630579047619,0.22278056251101588,0.632034632034632,0.9984503431508701,0.9999258983994894,0.75,1.3666666666666667,1.3854941915015575,524.5,2.0,447901.53642272943
Sequential,4745404.454248487,13724196.095454544,2072232.07,2790422.1100000003,3310247.877150256,20930920.299999997,221508.4758016871,2902122.9509290745,290558.6648470575,239565.66636040583,25165.655963319612,51252344.320754826,3346720.5959923384,5668074.358312737,57,0.7199671844834308,0.28310103296967837,0.7379053694843168,0.9987802990307497,0.999891558350361,0.6333333333333333,1.0,1.3980919979622008,393.45,3.0,355351.8647160812
Nominal joint,5334177.4424934685,9481222.365584414,2632471.81,3323839.37,3285523.358302877,20280151.199999996,200961.71414319566,2930680.7081974354,120841.48229123285,243320.6282857274,24456.52296574041,47857646.602264084,3346666.3894221615,2552562.270994286,57,0.7474292735614034,0.26173558839667643,0.7628920786815524,0.9987766477933648,0.999912278776335,0.7,1.1,1.3586957203189116,396.78333333333336,2.0,342340.1948359852
Target+ robust,5334177.4424934685,9481222.365584414,2632471.81,3323839.37,3554174.208453793,20280151.199999996,200961.71414319566,2930680.7081974354,120841.48229123285,123768.62987173974,1691.0462012439073,47983979.97723652,3346666.3894221615,2552562.270994286,57,0.7474292735614034,0.26173558839667643,0.7628920786815524,0.9993179739221009,0.9999909399079281,0.06666666666666667,0.06666666666666667,0.09394701118021706,205.16666666666666,2.0099999999999962,168240.22454833623
